unique_id,pdf_file,page_num,first_name,last_name,middle_name,middle_initial,context,title,entity_value,file_id,cluster_id
1,usct_pension_files\A_B\Abbs Wilkins.pdf,1,Wilkins,Abbs,,,,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
2,usct_pension_files\A_B\Abbs Wilkins.pdf,2,Wilkins,Abbs,,,"Claimant, Private",,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
9,usct_pension_files\A_B\Abbs Wilkins.pdf,3,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
13,usct_pension_files\A_B\Abbs Wilkins.pdf,4,Wilkins,Abbs,,,"Claimant, Private",,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
18,usct_pension_files\A_B\Abbs Wilkins.pdf,5,Wilkins,Abbs,,,"claimant, private",,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
23,usct_pension_files\A_B\Abbs Wilkins.pdf,6,Wilkens,Abbs,,,"Claimant, Private in Company I, 5 U.S. C Vol. H.A.",,Wilkens Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
30,usct_pension_files\A_B\Abbs Wilkins.pdf,7,Wilkins,Abbs,,,pensioner,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
32,usct_pension_files\A_B\Abbs Wilkins.pdf,8,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
44,usct_pension_files\A_B\Abbs Wilkins.pdf,10,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
48,usct_pension_files\A_B\Abbs Wilkins.pdf,11,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
58,usct_pension_files\A_B\Abbs Wilkins.pdf,12,Wilkins,Abbs,,,Deceased Civil War veteran,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
61,usct_pension_files\A_B\Abbs Wilkins.pdf,13,Wilkins,Abbs,,,"deceased individual, checks addressed to him",,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
64,usct_pension_files\A_B\Abbs Wilkins.pdf,14,Wilkins,Abbs,,,"pensioner, deceased",,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
67,usct_pension_files\A_B\Abbs Wilkins.pdf,15,Wilkins,Abbs,,,deceased pensioner,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
73,usct_pension_files\A_B\Abbs Wilkins.pdf,16,Wilkins,Abbs,,,deceased soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
77,usct_pension_files\A_B\Abbs Wilkins.pdf,18,Wilkins,Abbs,,,deceased soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
80,usct_pension_files\A_B\Abbs Wilkins.pdf,19,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
83,usct_pension_files\A_B\Abbs Wilkins.pdf,20,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
89,usct_pension_files\A_B\Abbs Wilkins.pdf,21,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
96,usct_pension_files\A_B\Abbs Wilkins.pdf,22,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
99,usct_pension_files\A_B\Abbs Wilkins.pdf,23,Wilkins,Abbs,,,claimant (pensioner),,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
103,usct_pension_files\A_B\Abbs Wilkins.pdf,25,Wilkins,Abbs,,,pensioner; Private in Civil War.,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
110,usct_pension_files\A_B\Abbs Wilkins.pdf,26,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
113,usct_pension_files\A_B\Abbs Wilkins.pdf,27,Wilkins,Abbs,,,Claimant for pension,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
114,usct_pension_files\A_B\Abbs Wilkins.pdf,28,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
120,usct_pension_files\A_B\Abbs Wilkins.pdf,31,William,Abbs,,,soldier,,William Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
125,usct_pension_files\A_B\Abbs Wilkins.pdf,32,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
127,usct_pension_files\A_B\Abbs Wilkins.pdf,34,Wilkins,Abbs,,,Claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
128,usct_pension_files\A_B\Abbs Wilkins.pdf,35,Wilkins,Abbs,,,pension claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
130,usct_pension_files\A_B\Abbs Wilkins.pdf,36,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
133,usct_pension_files\A_B\Abbs Wilkins.pdf,37,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
137,usct_pension_files\A_B\Abbs Wilkins.pdf,38,Wilkin,Abbs,,,soldier,,Wilkin Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
141,usct_pension_files\A_B\Abbs Wilkins.pdf,39,Wilkins,Abbs,,,Applicant for pension,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
146,usct_pension_files\A_B\Abbs Wilkins.pdf,40,Wilkin,Abbs,,,"claimant, farmer",,Wilkin Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
149,usct_pension_files\A_B\Abbs Wilkins.pdf,41,Wilkins,Abbs,,,Claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
154,usct_pension_files\A_B\Abbs Wilkins.pdf,42,Wilkins,Abbs,,,patient being certified,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
156,usct_pension_files\A_B\Abbs Wilkins.pdf,43,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
158,usct_pension_files\A_B\Abbs Wilkins.pdf,44,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
160,usct_pension_files\A_B\Abbs Wilkins.pdf,45,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
165,usct_pension_files\A_B\Abbs Wilkins.pdf,46,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
169,usct_pension_files\A_B\Abbs Wilkins.pdf,47,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
176,usct_pension_files\A_B\Abbs Wilkins.pdf,48,Wilkins,Abbs,,,claimant for pension,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
